# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
sha	subject	decision	follow_up	reviewed_head	reason
64ac0822b439d71796108f0f41485b61e3b8b395	merge conflict fixes (#13046)	Pending	#993,#992	d415cef44ef5b0008bd81288cd0ef1d280e8a028	VM import reservations/resource-limit contracts and VDDK conversion; review with the full import sequence, not as formatting-only.
856d83a15eeef23806c896fa4fddbec136b28613	Merge branch '4.22'	Pending	#993,#997	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied.
8906aa1d460166044feb11f5a511a140ca776281	Merge branch '4.22'	Pending	#997	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied.
1e512ab9c6505641a944db2c878514e189b9f5f6	Skip QemuImgTest when libvirt native library cannot load (#13086)	Applied	#990	0725e2c585b35b45d9e9e8f180f051d2022a59a6	Native libvirt loading failures are explicit skips: QemuImgTest one skip in the container. Full local and Actions suites pass; this is not a real-KVM functional PASS.
cbc1ae738803544ba52c7072f81d0dc3847786de	Bump the github-actions-dependencies group across 1 directory with 9 updates (#13042)	Adapted	#990	0725e2c585b35b45d9e9e8f180f051d2022a59a6	Core UI/checkout actions and the existing inactive simulator ci.yml use final Apache4.23 pins rather than intermediate versions. Apache automation lockfiles, CodeQL and docker-cloudstack-simulator paths are not imported. Core execution and actionlint validate the adapted scope; skipped simulator execution is not a PASS.
f6efda50d2f6fd27179e6d9b105081b1a828967d	Update .asf.yaml: Add ingox as collaborator(#12058)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	ASF collaborator/branch ruleset administration only; the file is not deployed or used by Europa build/RC artifacts. Europa repository permissions and branch policy are managed separately.
3e688b0197863bd35635d7e0999b91a35b692ac6	Merge tag '4.22.0.1' into 4.22	Pending	#993	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied.
a4a52c96659d9f94fd080096aa673916ae221ef2	Merge branch '4.22'	Pending	#993,#994	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied.
522283bdeca92a3c4ce75846c106b1fa80661bbd	Refactor merge conflict checker workflow (#13183)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Apache PR triage scheduling only; keep the existing Europa event-driven label checker rather than add a ten-minute scheduled job.
38c001296a2cd5b20ef30be7a3d253c3aecef4ac	Rename gpordeus collaborator to gp-santos (#13195)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	ASF collaborator/branch ruleset administration only; the file is not deployed or used by Europa build/RC artifacts. Europa repository permissions and branch policy are managed separately.
a289bb0e6c0dafbcb3e6dec60e5d3933f5b61a95	Update suse15 packaging spec, use qemu-ovmf-x86_64 package instead of edk2-ovmf for agent (#13133)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	SUSE packaging split and alternative qemu-ovmf dependency; Europa uses packaging/centos8 with the Rocky edk2-ovmf provider. No SUSE support expansion in this release.
348ce953a99246a756b527994f7745a7be038234	Updating pom.xml version numbers for release 4.22.1.0	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Apache 4.22.1.0 version/changelog transition; Europa is already 4.23.0.0-SNAPSHOT. Final release stamping is #999.
79bb8ef1cc3c89b144f9623d638c893258438848	Updating pom.xml version numbers for release 4.22.2.0-SNAPSHOT	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Apache 4.22.2.0-SNAPSHOT version transition would downgrade the Europa 4.23 development line.
4a49ffa9aa281b207ca5350ae697c6469be0c367	update debian change log	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Apache 4.22 branch changelog metadata; retain Europa history and produce final release notes in #999.
a7c2a059f5d7517db78310bab48dcb2a6acd0924	Update mysql java connector version to 8.4.0 (matching version for MySQL 8.4) (#12640)	Adapted	#990	0725e2c585b35b45d9e9e8f180f051d2022a59a6	Connector/J8.4.0 and classpath/auth follow-up adapted; invalid upstream shell assignment corrected. MySQL8.0.46 SELECT and isolated caching_sha2_password authentication passed. Baseline/candidate DB initialization reproduced identical 99 failed SQL statements and simulator FK failure; S4 owns repair.
21b2025c5055d4580e828f708d406510853f0060	Merge release branch 4.20 to 4.22	Pending	#994	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied.
67b849f3efd16f5c353501d176a42e45d87acb44	Merge release branch 4.22 to main	Pending	#990,#993,#998	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied.
a0aafe2fa73132f08d7ae67b302d2e1fa6d02068	Update bouncy castle (#12794)	Adapted	#990	0725e2c585b35b45d9e9e8f180f051d2022a59a6	BC1.83/jdk18on and MinIO8.6.0 adapted across Europa-only consumers. Global OkHttp/interceptor5.1.0 and explicit okhttp-jvm prevent old runtime selection and clean-compilation failure. Full161-reactor clean install, affected108 tests, full suites and actual RPM classpath BC/MinIO/InfluxDB smoke passed; external provider integration remains with S3/S5B.
2ae1015073b4351ef855ec90e431676a26977776	Add jmsperu to the list of contributors	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	ASF collaborator/branch ruleset administration only; the file is not deployed or used by Europa build/RC artifacts. Europa repository permissions and branch policy are managed separately.
583a1e0dfb04501b2d81413016cfee8d1300f6a2	Refactor github actions (#12774)	Adapted	#990	0725e2c585b35b45d9e9e8f180f051d2022a59a6	Shared setup-env/install-nonoss and core build/RAT/UI/pre-commit refactoring adapted to JDK17/Maven3.9.10/product Python3.10/Node14. Europa workflow_call contracts and legacy inactive coverage workflows are retained. Existing ci.yml receives pins and connector authentication follow-up, while its larger Apache refactor and Apache-only Sonar/CodeQL/automation changes are omitted.
7f849e9362f3f8ef521bd1e97d4786d773f8f4f5	add GaOrtiga to colaborators (#13246)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	ASF collaborator/branch ruleset administration only; the file is not deployed or used by Europa build/RC artifacts. Europa repository permissions and branch policy are managed separately.
e3245515e8bb758f3c1278f15077231271a141e2	docs: note MariaDB support in README (#13238)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	README MariaDB support declaration is outside the user-approved MySQL8.0 validation scope; do not advertise untested database support.
c0ce5b461f816bd6a6c1ceee8c1ee3104b3dbde7	Bump the github-actions-dependencies group across 1 directory with 2 updates (#13215)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Apache agentic workflow/stale maintenance dependency group; no product build or RC artifact effect.
7308dad19a9a70d33a33a75bea8c51629541e438	Update github aw actions (#13278)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Apache gh-aw generated reporting/triage automation and dependency metadata; not part of Europa build/release verification.
6bc83a3c46f4b51ddf24483ee1fe3ccf65d2791a	.github: Upgrade codecov/codecov-action to version 7.0.0 (#13370)	Adapted	#990	0725e2c585b35b45d9e9e8f180f051d2022a59a6	UI and existing simulator ci.yml codecov actions updated to fb8b3582c8e4def4969c97caa2f19720cb33a72f (v7.0.0). Existing apache/cloudstack repository conditions keep both uploads inactive here: validation is source review/actionlint, not coverage-upload PASS. Apache main-sonar/sonar paths are not imported; legacy inactive codecov.yml is retained atv4 for compatibility.
a7f9756d6267869b96a9209af58c0335835a773d	Remove realhostip references from the code (#12856)	Pending	#992,#997	d415cef44ef5b0008bd81288cd0ef1d280e8a028	realhostip replacement spans certificate resources, SystemVM scripts and schema defaults; requires the S4/S6 certificate and packaged SystemVM contract.
b0601e5478624f8d6c42c70125449d9b1a9401ba	Fix issue triage github action (#13312)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Apache gh-aw issue triage prompt/generated lock updates; not enabled as a new Europa service.
ac6c1c800d9f5c7504296522267f5f12c8d27ade	Add bhouse-nexthop to contributors list (#13420)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	ASF collaborator/branch ruleset administration only; the file is not deployed or used by Europa build/RC artifacts. Europa repository permissions and branch policy are managed separately.
957bfbb1cddd1ffac718a2d3f135ded4a85b73d1	Replace issue triage agent with githubnext/agentics daily issue triage (#13434)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Apache GitHub Next daily triage/reporting automation replacement; no Europa product integration requirement.
dde6eec7ed4cf2c87ec1c5ac3b81050da7174dd7	Update .asf.yaml (#13438)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	ASF collaborator/branch ruleset administration only; the file is not deployed or used by Europa build/RC artifacts. Europa repository permissions and branch policy are managed separately.
5ad7daf6100bed5fd8d90c4e186447d549a3cd68	Add code coverage grading workflow (#13140)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Sonar coverage grading for apache/cloudstack-only jobs and its helper; existing Europa jobs are gated off by repository condition.
4ea2645b3e079916c163e69b2b6a42bc25115951	[INFRA] Set up default rulesets for default and release branches (#13169)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	ASF collaborator/branch ruleset administration only; the file is not deployed or used by Europa build/RC artifacts. Europa repository permissions and branch policy are managed separately.
ce2d890e38733db4cfb43a8f8b5cd1aee5689f4d	Bump the github-actions-dependencies group across 1 directory with 5 updates (#13396)	Adapted	#990	0725e2c585b35b45d9e9e8f180f051d2022a59a6	Core build/RAT/UI/pre-commit and existing simulator ci.yml action pins use final Apache4.23 SHAs. Apache-only Sonar/CodeQL/automation and docker-cloudstack-simulator updates are omitted. Core jobs execute in PR #1002; repository-gated simulator and coverage uploads remain inactive.
06aebb63ee93254c412792f5cac83a1d8a9a4d6a	Update .asf.yaml: remove protected_branches	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	ASF collaborator/branch ruleset administration only; the file is not deployed or used by Europa build/RC artifacts. Europa repository permissions and branch policy are managed separately.
288f9a9fd73e8715f912db20227bdf61a6496f1a	framework/spring: throw RuntimeException when fail to start or load a module (#13186)	Applied	#992,#996	551a19f7caecb817c48eca0e9f3754d433aac241	S4 final: Propagate Spring module/component startup failures. Real Usage startup without required settings exits1, configured Usage and Quota starts successfully.; Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
