# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
source_sha	owner	relationship	status	review
96ca1b2a7c1c80bc5b284e008e9c96d49a276b4a	#997	Add option to control MAC address reuse for VR public NICs (#13001)	Pending in owner workstream	소유 작업에서 기능/API/DDL을 함께 통합. S4에 무관한 부모 문맥을 일괄 가져오지 않음; 현행 S4 전체 컴파일·회귀·DB 계약 검증과 구분.
e1521f139b026e1459a4993b75d9425ac508956d	#994	systemvmtemplate-register: correctly update existing template name in config (#12703)	Pending in owner workstream	소유 작업에서 기능/API/DDL을 함께 통합. S4에 무관한 부모 문맥을 일괄 가져오지 않음; 현행 S4 전체 컴파일·회귀·DB 계약 검증과 구분.
6b831f5196c3cfcc2d7aaf3fc2150c069d125fdc	#993	Live scaling for VMs with fixed service offerings on KVM (#12975)	Pending in owner workstream	S5A live scaling 기능은 예약 handle API·GPU offering 증감 계약과 함께 통합.
a1959f2dc2e93badc5f3e04a85922f9d391c8ba0	#994	backup: veeam kvm integration (#12991)	Pending in owner workstream	소유 작업에서 기능/API/DDL을 함께 통합. S4에 무관한 부모 문맥을 일괄 가져오지 않음; 현행 S4 전체 컴파일·회귀·DB 계약 검증과 구분.
a7f9756d6267869b96a9209af58c0335835a773d	#990	Remove realhostip references from the code (#12856)	Pending in owner workstream	소유 작업에서 기능/API/DDL을 함께 통합. S4에 무관한 부모 문맥을 일괄 가져오지 않음; 현행 S4 전체 컴파일·회귀·DB 계약 검증과 구분.
2081ac4666e2763755f4c34806a783d0f13f03fd	#993	Guest OS rules (#10098)	Pending in owner workstream	Guest OS rules와 새 JsInterpreter 생성자는 S5A에서 함께 적용. S4는 현재 timeout 생성자를 사용하여 계산 기능 유지.
02bb5de4de4bf305afb08a5906d81ab2413187a3	#997	Addition of description field for NIC's secondary IP addresses (#12864)	Pending in owner workstream	소유 작업에서 기능/API/DDL을 함께 통합. S4에 무관한 부모 문맥을 일괄 가져오지 않음; 현행 S4 전체 컴파일·회귀·DB 계약 검증과 구분.
8ef036e717524396ae790a502f0e01a0b63a0cb1	#991	UI for API Key Pair Management (#13225)	Previously completed in S3	S3 API key 관리/인증 DDL을 유지; 전체 기준 DB 키 값과 S4 UI 회귀 확인.
c2c855b9b18cf238e8fa22a9c010691f6a867f3b	#991	Add keycloak OAuth provider (#13033)	Previously completed in S3	S3 Keycloak 인증 코드를 유지; S4 전체 회귀에 OAuth 포함.
ea6cbada9b2faf7e55bbd6273af4e86ef68b363d	#993	Multiple CD-ROM / ISO Support Per VM (#13101)	Pending in owner workstream	소유 작업에서 기능/API/DDL을 함께 통합. S4에 무관한 부모 문맥을 일괄 가져오지 않음; 현행 S4 전체 컴파일·회귀·DB 계약 검증과 구분.
